step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
126,12.599999999999971,0.1,0.0,4.001905169834667e-14,5.636015527550737e-14,0.0,1.6597918960207023e-13,2.3431970823835114e-13,0.0,3.218597170073026e-13,4.549669673793786e-13,0.0,6.625523611031834e-13,9.33675809012701e-13,0.0,6.720882916185932e-13,9.495821368606792e-13,1.146948968015636e-26,5.179683871601043e-26,2.1948781560170168e-25,2.8275414399786846e-25,1.4503119215171228e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,12.89999999999997,0.1,0.0,3.913975841219408e-14,5.52184756562877e-14,0.0,5.32827616674564e-13,7.518359203543013e-13,0.0,1.0494329126446116e-12,1.4840910491386542e-12,0.0,9.323323297467041e-15,1.3142551624610005e-14,0.0,1.1423092330662697e-12,1.610110627073907e-12,2.0876917902252582e-26,5.506547190708765e-25,4.3462178654545855e-29,5.715750991517837e-25,2.465010448135483e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,13.199999999999969,0.1,0.0,1.162588995013644e-13,1.6432417143737827e-13,0.0,4.241657950541577e-14,5.998533528538898e-14,0.0,1.4155715141864164e-13,2.0004725961772985e-13,0.0,8.207862369584016e-13,1.158390165037266e-12,0.0,2.485106124638606e-12,3.5065806352285783e-12,8.79240548368958e-26,1.0019213558880118e-26,3.368450233901668e-25,4.347882917859427e-25,5.3626569406487263e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,13.599999999999968,0.1,0.0,3.2694127438873903e-14,4.623645169629038e-14,0.0,3.6898890721616897e-13,5.196025876738482e-13,0.0,6.10950138498427e-13,8.613243590623533e-13,0.0,5.202103504946408e-13,7.341884672353094e-13,0.0,6.813096144436828e-13,9.616232773146634e-13,1.2184535477222265e-26,1.8663003586562357e-25,1.3530940438087852e-25,3.341239757237243e-25,1.4702107763303334e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,13.899999999999967,0.1,0.0,2.2585735618321455e-14,3.193023243011648e-14,0.0,5.372853609110864e-13,7.581126791726692e-13,0.0,9.11978206034216e-13,1.2894346306371415e-12,0.0,2.266355043409068e-13,3.2041578452743403e-13,0.0,8.18111175003248e-13,1.156736293487707e-12,1.4418656564517582e-26,4.158521241406935e-25,2.5681825913928584e-26,4.559526066191397e-25,1.7654174073069323e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,14.199999999999966,0.1,0.0,1.1190957634708996e-13,1.5826256038912259e-13,0.0,1.1908259764680615e-13,1.6837774173202726e-13,0.0,2.2315577630085677e-13,3.1538861268238317e-13,0.0,7.762440516444958e-13,1.0966567306549813e-12,0.0,2.404332463669733e-12,3.3934241910896467e-12,8.194980650290783e-26,2.4899250248219008e-26,3.0127741385673126e-25,4.081264706078581e-25,5.188353942813312e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,14.499999999999964,0.1,0.0,5.007094725193405e-14,7.080954508945463e-14,0.0,5.072190882081127e-13,7.140299909392049e-13,0.0,9.79325938554318e-13,1.3849749405542264e-12,0.0,1.1639651219746242e-13,1.64597218571716e-13,0.0,1.323661077611641e-12,1.8710233278071183e-12,2.619119471784526e-26,4.795396469626479e-25,6.774074025867007e-27,5.125049157063601e-25,2.856352969833592e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,14.799999999999963,0.1,0.0,3.292845013457736e-14,4.6351479324052806e-14,0.0,8.106399344329749e-14,1.1459125793112705e-13,0.0,2.0341467338219266e-13,2.869658466960626e-13,0.0,6.073462648270598e-13,8.576945014951763e-13,0.0,6.167078953656893e-13,8.687901258774086e-13,7.300583423454566e-27,2.068876467359206e-26,1.8443474269969055e-25,2.1242409079673716e-25,1.3308055187616214e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,15.099999999999962,0.1,0.0,7.094748473925777e-14,1.0002205967797558e-13,0.0,4.997878241933723e-13,7.060804837965269e-13,0.0,8.703527035446029e-13,1.2304083751857102e-12,0.0,3.525444821185522e-13,4.983139720961944e-13,0.0,1.69303895934701e-12,2.3918314604049918e-12,4.232527207929786e-26,3.787569142836997e-25,6.214380593611908e-26,4.832259922991166e-25,3.653440394208195e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,15.399999999999961,0.1,0.0,9.910958113962081e-14,1.400466972285626e-13,0.0,3.239988597505556e-13,4.578137844457808e-13,0.0,5.513225859518958e-13,7.776287403799445e-13,0.0,6.306599805056287e-13,8.87707648317095e-13,0.0,2.1720619985504975e-12,3.0616208433194564e-12,6.788511902192587e-26,1.5197829689034279e-25,1.9886600550567994e-25,4.187294214179486e-25,4.6871331588316045e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,15.79999999999996,0.1,0.0,3.3407547483102615e-14,4.724498762863069e-14,0.0,7.955669782449813e-14,1.1229298911214119e-13,0.0,1.3723708056067025e-13,1.9400680587056494e-13,0.0,5.859735778191877e-13,8.259860984899355e-13,0.0,6.391608020606711e-13,9.030485215953494e-13,7.497850878537741e-27,9.417008140407946e-27,1.7168251695110982e-25,1.885973759700555e-25,1.3792570601053721e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,16.09999999999996,0.1,0.0,4.978381072773793e-14,7.040412066932842e-14,0.0,4.772869434345294e-13,6.731531641306144e-13,0.0,9.080828475330476e-13,1.2842139695906275e-12,0.0,1.2423100732806763e-13,1.7545995310236867e-13,0.0,1.3248195174515731e-12,1.871215161023977e-12,2.4871427936934236e-26,4.12307228991864e-25,7.716671590873194e-27,4.448953285196715e-25,2.8588527821662625e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
