step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
1351,13.509999999999756,0.01,0.0,28.75488345610555,40.65411979508112,0.0,515.2422706113434,728.4578643797449,0.0,112.7390577333268,159.39230515997951,0.0,225346.90544532795,318599.1034674133,0.0,96.08346585286155,135.84435969186342,14815.884276077153,6355.047569299198,25390613896.89278,25390635067.824627,54575253358.43023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1383,13.82999999999975,0.01,0.0,54.37513765046119,76.87644998771502,0.0,974.3169166531628,1377.5050317437892,0.0,213.1881978296598,301.40892578106207,0.0,426128.2790938745,602467.0603446915,0.0,181.69267455520188,256.88004503761783,52979.16296379624,22724.60384692908,90792655121.75354,90792730825.52036,195152121034.79932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1414,14.139999999999743,0.01,0.0,100.79583880906807,142.50678887448072,0.0,1806.1028463214757,2553.4974463963454,0.0,395.1894956579647,558.7253073990547,0.0,789919.0546907514,1116800.3489506857,0.0,336.8058698988026,476.1815920225905,182049.52929908317,78087.36873919828,311986056481.76514,311986316618.66315,670591035960.4788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1446,14.459999999999736,0.01,0.0,190.60371495439713,269.4786182309573,0.0,3415.318689397793,4828.6328598447335,0.0,747.2985678113081,1056.5428145403523,0.0,1493727.4010142733,2111855.9842097093,0.0,636.8958359754405,900.4536447612026,650979.1451161386,279227.57472641615,1115610774270.4277,1115611704477.1475,2397923142088.8955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477,14.76999999999973,0.01,0.0,353.32437137758865,499.5357168612084,0.0,6331.016839172868,8950.894111509928,0.0,1385.2762353898827,1958.5259703378126,0.0,2768940.233400588,3914772.5333654685,0.0,1180.621379456798,1669.1816214918215,2236925.6198479356,959495.1241679826,3833515008072.251,3833518204492.995,8239857991164.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1508,15.079999999999723,0.01,0.0,654.9615858181212,925.9952943878989,0.0,11735.881146999862,16592.37877904395,0.0,2567.903018943325,3630.5428646106307,0.0,5132817.414300457,7256860.364806731,0.0,2188.5318805633583,3094.181806843166,7686630.618312793,3297062.9573491216,13172907304273.014,13172918287966.59,28314193446334.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1540,15.399999999999716,0.01,0.0,1238.5244558136926,1751.0459283428784,0.0,22192.40964021661,31375.988062414446,0.0,4855.873623710217,6865.312749726249,0.0,9706095.79628514,13722635.3863356,0.0,4138.487378644609,5851.060461388404,27486125.605481286,11789754.324722297,47104147803332.016,47104187079211.945,101246894267270.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571,15.70999999999971,0.01,0.0,2295.8675012749864,3245.934645255854,0.0,41138.33346510368,58162.04191588293,0.0,9001.390639192196,12726.311825490715,0.0,17992305.11626241,25437812.28335584,0.0,7671.5632319293345,10846.180306120357,94449137.14753109,40512516.71966845,161861521698341.2,161861656659995.06,347909412176483.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1603,16.029999999999706,0.01,0.0,4341.4577422655475,6138.02324773017,0.0,77792.09219468162,109983.7194617844,0.0,17021.521085155473,24065.302102397465,0.0,34023231.87414879,48102596.08733649,0.0,14506.833504128865,20509.996085514704,337734564.84050393,144866090.02619618,578790153581047.2,578790636181702.1,1244066780004716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634,16.339999999999755,0.01,0.0,8047.811806894447,11378.126633175016,0.0,144204.12571392395,203878.1277158704,0.0,31552.995904310694,44610.1364780593,0.0,63069269.22720561,89168353.97594501,0.0,26891.489653025532,38019.62346643286,1160539637.049295,497795775.26872355,1988866360426872.2,1988868018762284.5,4274921668185372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1666,16.659999999999805,0.01,0.0,15218.315019456822,21515.900171347035,0.0,272688.26171355863,385531.07945431955,0.0,59666.33452687283,84357.22980034676,0.0,119263227.09538203,168616281.43563816,0.0,50851.482452862525,71894.64921852073,4149898677.0706644,1780035737.9363487,7111858668602336.0,7111864598536751.0,1.5286416085269174e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1697,16.969999999999853,0.01,0.0,28210.37139260816,39884.27982361774,0.0,505485.47112536593,714663.5432959945,0.0,110604.19333454277,156373.99930779563,0.0,221079661.2857724,312566004.5844989,0.0,94263.997297061,133271.96558900466,14260079973.614214,6116643791.592456,2.4438108317115932e+16,2.4438128693839696e+16,5.252791281153619e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1728,17.2799999999999,0.01,0.0,52293.9006776638,73933.96345866333,0.0,937024.4245687898,1324780.3026392763,0.0,205028.3075069688,289872.3407276106,0.0,409817995.24124825,579407316.9571548,0.0,174738.29193979682,247047.82629887518,49001167661.61473,21018303439.58607,8.39753946117779e+16,8.397546463124901e+16,1.8049892198048768e+17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
