step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
132,13.199999999999969,0.1,0.0,3.244605190977953e-10,4.51590453075318e-10,0.0,4.253217498927918e-10,5.92297295826687e-10,0.0,7.974322438705506e-10,1.1097706799232024e-09,0.0,8.430067956191485e-11,1.1732261762198995e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,6.9124272305863435e-19,3.1794909178221057e-19,3.5533022873003225e-21,1.0127451171281451e-18,1.3680758699918727e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,13.599999999999968,0.1,0.0,3.7626972364931006e-10,5.236851993616327e-10,0.0,4.2320554440341024e-10,5.884887696341571e-10,0.0,9.320266565152698e-10,1.2971187490323672e-09,0.0,9.823068140900091e-11,1.367089826798129e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,9.271514564173247e-19,4.343368442275163e-19,4.8246333850383174e-21,1.3663129340298792e-18,1.8487767966674064e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,13.899999999999967,0.1,0.0,4.175517826440808e-10,5.810851163975175e-10,0.0,4.836448298456196e-10,6.725694140411394e-10,0.0,1.0449842520871663e-09,1.454323002451644e-09,0.0,1.1016938224805735e-10,1.5332405762846665e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.1422683204776766e-18,5.459960435550869e-19,6.068646392459286e-21,1.6943330104252227e-18,2.3011981738048467e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,14.199999999999966,0.1,0.0,4.673427697088614e-10,6.503579651652662e-10,0.0,5.994671047690504e-10,8.343850407460172e-10,0.0,1.1698243998955231e-09,1.6280390860394559e-09,0.0,1.235594222839655e-10,1.7195896015512613e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.4334817881983265e-18,6.842445632954604e-19,7.633465417573654e-21,2.1253598169113606e-18,2.8887068828024216e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,14.499999999999964,0.1,0.0,5.27879394503374e-10,7.346434676427813e-10,0.0,7.045073841513116e-10,9.81043679452064e-10,0.0,1.3107958495893203e-09,1.824210488832079e-09,0.0,1.385772163797584e-10,1.9285920661140715e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.8303578989690293e-18,8.5909287965029385e-19,9.601822449781188e-21,2.6990526010691044e-18,3.659235370180919e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,14.799999999999963,0.1,0.0,5.956877572676324e-10,8.290597618401374e-10,0.0,7.566367928892971e-10,1.0533251588077255e-09,0.0,1.4714289132242351e-09,2.0477738007672363e-09,0.0,1.554206251901955e-10,2.1630015943887366e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.3285045784287446e-18,1.082551523336127e-18,1.2077785367255613e-20,3.4231338871321273e-18,4.630912947991384e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,15.099999999999962,0.1,0.0,6.67011599034145e-10,9.283188247015524e-10,0.0,7.924982529381072e-10,1.1025615373214498e-09,0.0,1.652457394846121e-09,2.2997368041385587e-09,0.0,1.7431156199192907e-10,2.4259065509153065e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.9160349792114856e-18,1.3653077208908148e-18,1.519226032203306e-20,4.296534960424334e-18,5.815761516761335e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,15.399999999999961,0.1,0.0,7.436856695773812e-10,1.034977226914591e-09,0.0,8.817028657106738e-10,1.2264904254522307e-09,0.0,1.8536071183838539e-09,2.5796849428221798e-09,0.0,1.9549891640891458e-10,2.7207707298114464e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,3.624844436199097e-18,1.7179296746616472e-18,1.9109913158529883e-20,5.361884024019274e-18,7.272875864005956e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,15.79999999999996,0.1,0.0,8.648833041915119e-10,1.2036167587930542e-09,0.0,1.098492606916397e-09,1.5289464704243562e-09,0.0,2.157239286926535e-09,3.002220840544766e-09,0.0,2.2780821135839448e-10,3.170418838677561e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,4.908561344436514e-18,2.326840670529652e-18,2.5948290581155458e-20,7.26135030554732e-18,9.85617988779656e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,16.09999999999996,0.1,0.0,9.73955122987391e-10,1.3554521876512367e-09,0.0,1.2576212143096233e-09,1.7508138068449004e-09,0.0,2.4184901945639812e-09,3.3657876663942527e-09,0.0,2.55498672720674e-10,3.555786694093068e-10,0.0,1.0238493008008255e-12,1.4384048126146475e-12,6.226656977229362e-18,2.9245474106010622e-18,3.263978588101304e-20,9.183844173711438e-18,1.2447823285946437e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
